City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,sao gabriel da cachoeira,-0.1303,-67.0892,73.24,98,76,1.34,BR,1721517697
113,nadym,65.5333,72.5167,43.02,71,27,10.83,RU,1721517697
114,kuta,-8.7233,115.1723,78.75,78,20,12.66,ID,1721517697
115,jatiroto,-7.8833,111.1167,67.48,93,12,3.98,ID,1721517697
116,namibe,-15.1961,12.1522,61.12,88,71,2.24,AO,1721517697
117,st. john's,47.5649,-52.7093,70.99,64,75,9.22,CA,1721517620
118,yangambi,0.8102,24.4336,71.11,97,99,2.66,CD,1721517697
119,capo d'orlando,38.1435,14.7305,77.41,45,0,3.78,IT,1721517698
120,al jahra',29.3375,47.6581,104.63,16,17,8.9,KW,1721517698
121,tralee,52.2704,-9.7026,52.75,94,86,6.13,IE,1721517698
122,hadibu,12.65,54.0333,78.98,80,96,27.85,YE,1721517698
123,san-pedro,4.7485,-6.6363,75.27,87,100,10.18,CI,1721517698
124,gaillac,43.9016,1.8969,77.95,93,77,8.75,FR,1721517698
125,ilulissat,69.2167,-51.1,51.82,66,97,2.3,GL,1721517698
126,morondava,-20.2833,44.2833,66.33,83,0,6.24,MG,1721517698
127,sitka,57.0531,-135.33,60.69,77,100,4.61,US,1721517698
128,isafjordur,66.0755,-23.124,41.16,80,100,8.16,IS,1721517698
129,jeremie,18.65,-74.1167,86.11,72,82,3.33,HT,1721517699
130,bodden town,19.2833,-81.25,89.6,79,20,13.8,KY,1721517699
131,laguna,38.421,-121.4238,107.24,26,0,10.36,US,1721517699
132,kailua-kona,19.6406,-155.9956,84.27,75,40,10.36,US,1721517699
133,jumla,29.2747,82.1838,60.33,95,99,0.56,NP,1721517699
134,kavieng,-2.5744,150.7967,82.8,79,95,12.82,PG,1721517699
135,cova figueira,14.8905,-24.2934,68.25,89,37,3.74,CV,1721517699
136,porangatu,-13.4408,-49.1486,74.34,30,5,0.85,BR,1721517699
137,borogontsy,62.6683,131.1683,68.47,73,100,3.04,RU,1721517700
138,badger,64.8,-147.5333,75.97,36,0,6.91,US,1721517700
139,coquimbo,-29.9533,-71.3436,55.13,78,75,3.44,CL,1721517606
140,codrington,-38.2667,141.9667,49.66,94,92,14.74,AU,1721517700
141,bamboo flat,11.7,92.7167,82.49,89,40,5.75,IN,1721517700
142,chinde,26.8212,87.7095,76.41,89,99,3.36,NP,1721517700
143,starobin,52.7267,27.4606,58.44,89,19,4.18,BY,1721517700
144,ust-nera,64.5667,143.2,55.63,97,100,6.24,RU,1721517700
145,kudahuvadhoo,2.6708,72.8944,82.13,78,43,4.81,MV,1721517700
146,portland,45.5234,-122.6762,96.67,31,75,12.66,US,1721517042
147,kirakira,-10.4544,161.9205,84.04,75,3,6.82,SB,1721517701
148,egilsstadir,65.2653,-14.3948,49.91,81,75,2.3,IS,1721517701
149,college,64.8569,-147.8028,76.06,36,20,6.91,US,1721517701
150,petropavlovsk-kamchatsky,53.0452,158.6483,64.99,59,20,2.24,RU,1721517701
151,donggang,28.9365,114.2259,82.15,73,76,1.9,CN,1721517701
152,barguzin,53.6167,109.6167,72.75,58,94,5.01,RU,1721517701
153,yangquan,37.8575,113.5633,79.95,63,92,3.74,CN,1721517701
154,ghanzi,-21.5667,21.7833,54.1,24,5,7.92,BW,1721517701
155,acarau,-2.8856,-40.12,77.41,76,0,15.88,BR,1721517702
156,boguchany,58.3814,97.4531,65.62,89,6,3.15,RU,1721517702
157,lospalos,-8.5186,127.0025,69.76,83,98,8.86,TL,1721517702
158,port alfred,-33.5906,26.891,54.21,76,41,15.01,ZA,1721517702
159,port elizabeth,-33.918,25.5701,52.09,78,0,9.22,ZA,1721517702
160,port sudan,19.6175,37.2164,91.99,40,100,6.13,SD,1721517702
161,devils lake,48.1128,-98.8651,84.31,70,0,4.0,US,1721517702
162,gadzhiyevo,69.2551,33.3362,51.76,89,67,3.62,RU,1721517702
163,brookings,44.3114,-96.7984,80.19,64,75,8.05,US,1721517703
164,tamanrasset,22.785,5.5228,85.91,26,0,6.91,DZ,1721517703
165,upington,-28.4478,21.2561,39.58,38,0,3.44,ZA,1721517703
166,taihecun,45.8,130.85,73.35,87,100,3.11,CN,1721517703
167,kovdor,67.5662,30.4758,54.72,58,20,4.21,RU,1721517703
168,ola,59.5833,151.2833,57.27,70,100,2.48,RU,1721517703
169,kirensk,57.7853,108.1119,68.56,70,89,0.6,RU,1721517703
170,usogorsk,63.4106,48.6872,47.82,68,4,5.41,RU,1721517704
171,naze,28.3667,129.4833,85.12,79,18,5.99,JP,1721517704
172,vernon,50.2581,-119.2691,105.75,16,0,3.44,CA,1721517704
173,la'ie,21.6477,-157.9253,85.96,73,51,7.0,US,1721517704
174,qusmuryn,52.4503,64.6311,64.9,75,48,5.84,KZ,1721517704
175,lompoc,34.6391,-120.4579,73.85,73,0,16.11,US,1721517704
176,bubaque,11.2833,-15.8333,80.76,85,97,15.82,GW,1721517704
177,port macquarie,-31.4333,152.9167,59.9,40,0,5.99,AU,1721517704
178,inhambane,-23.865,35.3833,68.0,80,8,8.5,MZ,1721517705
179,placido de castro,-10.3353,-67.1856,81.3,42,6,2.64,BR,1721517705
180,darwin,-12.4611,130.8418,67.98,40,0,10.36,AU,1721517705
181,klyuchi,52.2667,79.1667,66.25,78,42,4.72,RU,1721517705
182,kapuskasing,49.4169,-82.4331,66.29,48,20,8.05,CA,1721517705
183,nemuro,43.3236,145.575,62.51,98,100,5.21,JP,1721517705
184,bredasdorp,-34.5322,20.0403,45.21,89,47,3.8,ZA,1721517705
185,prince rupert,54.3161,-130.3201,62.69,79,100,5.75,CA,1721517705
186,sechura,-5.5569,-80.8222,67.44,67,3,19.33,PE,1721517705
187,dahab,28.501,34.5134,90.34,39,0,2.21,EG,1721517705
188,baykal'sk,51.5058,104.1469,59.88,100,100,4.05,RU,1721517706
189,duba,27.3513,35.6901,87.8,51,43,6.13,SA,1721517706
190,sola,-13.8833,167.55,80.62,77,27,15.86,VU,1721517706
191,kerikeri,-35.2268,173.9474,61.92,89,70,10.0,NZ,1721517706
192,buarcos,40.166,-8.8768,65.66,91,82,13.62,PT,1721517706
193,talnakh,69.4865,88.3972,47.79,64,0,15.88,RU,1721517706
194,viedma,-40.8135,-62.9967,40.8,67,96,14.56,AR,1721517706
195,itoman,26.1247,127.6694,89.1,79,20,3.44,JP,1721517706
196,pimentel,-6.8367,-79.9342,64.69,72,0,20.71,PE,1721517706
197,turpan,42.9333,89.1667,91.15,25,0,3.0,CN,1721517707
198,iskateley,67.6803,53.1512,41.2,80,8,4.12,RU,1721517707
199,labrador city,52.9463,-66.9114,60.71,49,40,38.99,CA,1721517707
200,chicoana,-25.1009,-65.5331,52.05,68,7,3.58,AR,1721517707
201,yaren,-0.5472,166.916,83.57,77,59,17.67,NR,1721517707
202,montepuez,-13.1256,38.9997,58.42,81,1,3.4,MZ,1721517707
203,las tablas,7.7667,-80.2833,83.17,99,93,5.06,PA,1721517707
204,pandan,14.0453,124.1694,79.7,87,100,4.94,PH,1721517707
205,ust'-ilimsk,58.0006,102.6619,66.76,94,99,2.75,RU,1721517707
206,san antonio de pale,-1.4014,5.6325,72.9,74,54,9.46,GQ,1721517489
207,susuman,62.7833,148.1667,52.81,84,100,5.91,RU,1721517708
208,whangarei,-35.7317,174.3239,63.07,72,79,7.9,NZ,1721517708
209,kurumkan,54.3,110.3,74.48,51,74,2.93,RU,1721517708
210,beloyarskiy,63.7119,66.6722,42.35,84,80,7.4,RU,1721517708
211,prince george,53.9166,-122.753,86.61,44,0,3.44,CA,1721517708
212,havelock,34.8791,-76.9013,85.96,84,75,13.8,US,1721517708
213,acapulco de juarez,16.8634,-99.8901,87.62,70,40,11.5,MX,1721517708
214,mahbubnagar,16.7333,77.9833,70.72,94,100,14.12,IN,1721517708
215,charters towers,-20.1,146.2667,60.93,30,16,13.2,AU,1721517708
216,kodarma,24.4667,85.6,79.81,83,100,9.78,IN,1721517709
217,port saint john's,-31.6229,29.5448,59.04,67,38,5.26,ZA,1721517709
218,kismayo,-0.3582,42.5454,77.09,82,94,14.9,SO,1721517709
219,avarua,-21.2078,-159.775,77.05,57,75,18.41,CK,1721517709
220,antalaha,-14.9003,50.2788,66.58,79,23,6.38,MG,1721517709
221,besisahar,28.2313,84.3761,72.5,92,100,1.14,NP,1721517709
222,chany,55.3121,76.7647,58.37,95,96,6.02,RU,1721517709
223,mount pearl,47.5166,-52.7813,70.14,64,75,9.22,CA,1721517709
224,ciudad bolivar,8.1222,-63.5497,80.28,81,67,6.22,VE,1721517474
225,crane,31.3974,-102.3501,98.15,20,31,9.22,US,1721517710
226,guiratinga,-16.3494,-53.7583,72.05,29,2,3.22,BR,1721517710
227,benghazi,32.1167,20.0667,82.53,77,0,11.39,LY,1721517710
228,ancud,-41.8697,-73.8203,43.86,83,93,2.48,CL,1721517431
229,trairi,-3.2778,-39.2689,76.59,78,0,9.89,BR,1721517709
230,el dorado,38.7666,-120.5177,99.43,24,2,3.0,US,1721517710
231,tongliao,43.6125,122.2653,76.41,81,48,10.38,CN,1721517710
232,uturoa,-16.7333,-151.4333,75.7,70,22,24.61,PF,1721517711
233,kyakhta,50.3508,106.4494,62.8,95,100,6.2,RU,1721517711
234,kuhdasht,33.535,47.6061,78.76,26,0,8.01,IR,1721517711
235,sadjoavato,-12.6334,49.349,62.47,79,5,3.29,MG,1721517711
236,santa terezinha,-29.9002,-50.0904,60.28,93,76,9.75,BR,1721517711
237,chopda,21.25,75.3,79.3,86,100,11.07,IN,1721517711
238,afaahiti,-17.75,-149.2833,76.87,66,99,23.15,PF,1721517711
239,port-vila,-17.7338,168.3219,76.6,83,75,6.91,VU,1721517711
240,hotan,37.0997,79.9269,80.55,29,11,4.52,CN,1721517711
241,itaparica,-12.8883,-38.6786,76.93,73,5,7.58,BR,1721517711
242,ribadesella,43.4614,-5.0596,65.95,86,96,14.12,ES,1721517712
243,bekasi,-6.2349,106.9896,78.73,72,78,2.06,ID,1721517712
244,kharp,66.8014,65.8081,43.36,75,1,3.78,RU,1721517712
245,fonte boa,-2.4959,-66.2662,79.59,73,68,3.06,BR,1721517712
246,semenivka,52.1783,32.5818,61.03,83,27,1.41,UA,1721517712
247,remire-montjoly,4.9167,-52.2667,80.64,89,0,2.3,GF,1721517712
248,aitape,-3.1374,142.3475,80.31,82,92,2.48,PG,1721517712
249,selfoss,63.9331,-20.9971,53.04,80,62,6.98,IS,1721517713
250,san patricio,28.017,-97.5169,87.89,56,68,16.04,US,1721517713
251,valley city,46.9233,-98.0032,82.92,65,0,4.61,US,1721517713
252,taltal,-25.4,-70.4833,56.53,84,98,4.14,CL,1721517713
253,shahrisabz,39.0578,66.8342,76.77,30,12,5.23,UZ,1721517713
254,piton saint-leu,-21.2196,55.3151,62.71,63,20,4.61,RE,1721517713
255,ar rutbah,33.0381,40.2848,85.17,35,0,10.89,IQ,1721517713
256,ash shamiyah,31.9636,44.599,97.12,19,0,7.23,IQ,1721517713
257,colonia,50.9333,6.95,71.13,88,0,3.44,DE,1721517714
258,westport,41.1415,-73.3579,79.25,67,95,8.99,US,1721517714
259,ramadi,33.4226,43.3058,94.37,21,0,7.43,IQ,1721517714
260,byron bay,-28.65,153.6167,54.72,43,0,14.38,AU,1721517714
261,phang nga,8.4509,98.5298,78.84,93,98,0.45,TH,1721517615
262,gisborne,-38.6533,178.0042,58.32,63,16,8.97,NZ,1721517714
263,evinayong,1.4368,10.5512,64.15,99,20,2.64,GQ,1721517489
264,saint-louis,16.3333,-15.0,82.04,62,3,17.65,SN,1721517715
265,pisco,-13.7,-76.2167,60.85,88,0,19.57,PE,1721517715
266,kiboga,0.9161,31.7742,63.23,92,90,1.92,UG,1721517715
267,port lincoln,-34.7333,135.8667,55.8,82,17,16.13,AU,1721517715
268,rikaze,29.25,88.8833,58.73,67,100,4.34,CN,1721517715
269,lazaro cardenas,17.9583,-102.2,85.48,65,100,8.86,MX,1721517715
270,richards bay,-28.783,32.0377,60.98,88,2,6.53,ZA,1721517715
271,dhidhdhoo,6.8833,73.1,82.42,80,93,13.06,MV,1721517715
272,galliano,29.4422,-90.2992,89.01,58,40,5.75,US,1721517715
273,kununurra,-15.7667,128.7333,60.78,63,6,2.3,AU,1721517716
274,kolonia town,6.964,158.206,87.91,74,100,11.5,FM,1721517716
275,aswan,24.0934,32.907,92.5,16,0,3.44,EG,1721517716
276,tazovsky,67.4667,78.7,41.83,75,0,10.67,RU,1721517716
277,kilis,36.7161,37.115,79.03,62,0,6.15,TR,1721517716
278,sungai penuh,-2.0833,101.3833,63.34,95,91,4.32,ID,1721517716
279,antsiranana,-12.2787,49.2917,69.69,71,3,11.14,MG,1721517716
280,howrah,22.5892,88.3103,82.4,89,40,5.75,IN,1721517558
281,mossel bay,-34.1831,22.146,48.13,72,99,4.43,ZA,1721517716
282,cooma,-36.2333,149.1333,41.83,66,61,8.84,AU,1721517717
283,la puebla de montalban,39.863,-4.3592,75.63,45,6,8.3,ES,1721517717
284,alo,6.5486,4.2686,76.1,88,52,11.99,NG,1721517717
285,kaspiyskiy,45.3929,47.3707,80.08,56,98,3.89,RU,1721517717
286,georgetown,5.4112,100.3354,82.33,86,20,2.3,MY,1721517674
287,saldanha,-33.0117,17.9442,42.85,75,23,6.78,ZA,1721517717
288,hammamet,36.4,10.6167,80.46,62,1,4.7,TN,1721517717
289,luderitz,-26.6481,15.1594,56.73,61,79,13.73,NA,1721517718
290,antofagasta,-23.65,-70.4,61.88,80,86,0.54,CL,1721517597
291,ulan bator,47.9077,106.8832,64.53,82,40,11.18,MN,1721517522
292,dakhla,23.6848,-15.958,68.32,82,0,26.33,EH,1721517718
293,nova sintra,14.8667,-24.7167,78.12,86,11,9.31,CV,1721517718
294,newman,37.3138,-121.0208,106.14,11,0,12.01,US,1721517477
295,puerto deseado,-47.7503,-65.8938,41.67,72,60,11.5,AR,1721517718
296,kodiak,57.79,-152.4072,60.31,72,100,11.5,US,1721517718
297,fergus falls,46.283,-96.0776,84.27,62,0,3.0,US,1721517674
298,jeddah,21.5169,39.2192,93.06,36,0,10.36,SA,1721517719
299,posto fiscal rolim de moura,-13.0833,-62.2667,78.13,38,5,2.01,BR,1721517719
300,cockburn town,21.4612,-71.1419,80.56,83,100,11.5,TC,1721517719
301,port isabel,26.0734,-97.2086,89.67,78,100,4.0,US,1721517719
302,al jawf,29.5,38.75,83.93,20,0,10.36,SA,1721517719
303,chonchi,-42.6128,-73.8092,42.12,92,100,1.34,CL,1721517719
304,isangel,-19.55,169.2667,77.11,78,75,2.3,VU,1721517719
305,sydney,-33.8679,151.2073,56.71,54,0,18.41,AU,1721517600
306,tacuarembo,-31.7333,-55.9833,56.17,96,97,7.78,UY,1721517720
